local_time,S1_uT,S2_uT,S3_uT,S4_uT,S5_uT,S6_uT,I1_A,I2_A,I3_A,I4_A,I5_A,I6_A,MC1_A,MV1_V,MC2_A,MV2_V,MC3_A,MV3_V,MC4_A,MV4_V,MC5_A,MV5_V,MC6_A,MV6_V
2025-11-11T11:21:34.700+01:00,20.797000,-23.973000,14.903000,-69.175000,-56.720000,-29.820000,0.006000,0.006000,0.006000,-0.006000,-0.006000,-0.006000,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11T11:21:35.559+01:00,20.789000,-23.965000,14.876800,-69.130400,-56.680600,-29.792400,0.207831,0.408478,1.794974,-3.237508,-0.959982,-1.384574,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11T11:21:37.039+01:00,19.669600,-23.294600,14.267840,-67.164120,-56.046680,-29.839920,0.352595,0.821543,3.544673,-6.401315,-1.893281,-2.764118,0.0,0.0,0.821,0.646,3.548,3.174,6.4,6.2,0.0,0.0,2.763,2.329
2025-11-11T11:21:37.787+01:00,17.810680,-22.134880,13.178272,-63.617096,-54.161344,-29.392336,0.388978,1.267079,5.238403,-9.456103,-2.752856,-4.149482,0.0,0.0,0.821,0.646,3.548,3.174,6.4,6.2,0.0,0.0,2.763,2.329
2025-11-11T11:21:39.171+01:00,15.316944,-20.620304,11.771218,-58.869677,-52.130675,-29.497469,0.278134,1.756555,6.862013,-12.367078,-3.526351,-5.558360,0.0,0.003,1.757,1.385,6.866,6.144,12.368,11.981,0.0,0.0,5.558,4.683
2025-11-11T11:21:39.916+01:00,12.332355,-18.912643,10.132374,-53.293341,-49.007340,-28.586775,-0.028613,2.317399,8.423941,-15.129132,-4.156701,-6.994993,0.0,0.003,1.757,1.385,6.866,6.144,12.368,11.981,0.0,0.0,5.558,4.683
2025-11-11T11:21:41.387+01:00,8.994284,-17.111915,8.405099,-47.193073,-45.700072,-27.536620,-0.556861,2.958535,9.925234,-17.730923,-4.629617,-8.464444,0.556,0.434,2.958,2.334,9.929,8.889,17.734,17.215,0.0,0.0,8.465,7.134
2025-11-11T11:21:42.118+01:00,5.792427,-15.269732,6.632279,-40.926859,-41.796858,-26.342096,-1.307349,3.688688,11.371678,-20.175175,-4.919475,-9.972451,0.556,0.434,2.958,2.334,9.929,8.889,17.734,17.215,0.0,0.0,8.465,7.134
2025-11-11T11:21:43.629+01:00,2.894942,-13.414185,4.922624,-34.681287,-37.742486,-25.108277,-2.229966,4.474073,12.733537,-22.427329,-5.054958,-11.484398,2.228,1.735,4.475,3.53,12.739,11.41,22.431,21.802,0.0,0.0,11.486,9.681
2025-11-11T11:21:44.369+01:00,0.457353,-11.664548,3.293699,-28.637629,-33.241589,-23.727421,-3.281388,5.293506,13.997515,-24.475532,-5.042785,-12.978566,2.228,1.735,4.475,3.53,12.739,11.41,22.431,21.802,0.0,0.0,11.486,9.681
2025-11-11T11:21:45.819+01:00,-1.291717,-10.183439,1.599359,-22.692304,-29.055471,-23.395937,-4.302177,6.015786,15.038085,-26.198907,-5.015591,-14.352267,4.302,3.349,6.016,4.748,15.044,13.486,26.201,25.504,0.0,0.0,14.355,12.107
2025-11-11T11:21:46.497+01:00,-2.879974,-8.676951,0.371287,-17.432043,-24.211777,-21.598950,-5.397038,6.758366,15.995731,-27.733839,-4.841229,-15.689975,4.302,3.349,6.016,4.748,15.044,13.486,26.201,25.504,0.0,0.0,14.355,12.107
2025-11-11T11:21:47.868+01:00,-3.923579,-7.341961,-0.683370,-12.646234,-19.831422,-20.539360,-6.503666,7.483449,16.847779,-29.062183,-4.567243,-16.972212,6.504,5.057,7.485,5.907,16.854,15.122,29.062,28.342,0.0,0.0,16.976,14.329
2025-11-11T11:21:48.591+01:00,-4.534063,-6.112369,-1.504896,-8.413387,-15.027737,-18.530088,-7.594324,8.185529,17.603868,-30.197508,-4.187490,-18.174953,6.504,5.057,7.485,5.907,16.854,15.122,29.062,28.342,0.0,0.0,16.976,14.329
2025-11-11T11:21:50.079+01:00,-4.729851,-5.077495,-2.159517,-4.744910,-10.657190,-16.861070,-8.623548,8.836843,18.250904,-31.134667,-3.738885,-19.280628,8.624,6.71,8.839,6.977,18.257,16.398,31.135,30.425,0.0,0.0,19.285,16.296
2025-11-11T11:21:50.720+01:00,-4.543880,-4.241796,-2.664814,-1.636928,-6.113352,-14.881456,-9.571381,9.434015,18.798489,-31.892356,-3.217813,-20.282893,8.624,6.71,8.839,6.977,18.257,16.398,31.135,30.425,0.0,0.0,19.285,16.296
2025-11-11T11:21:52.210+01:00,-4.083904,-3.565437,-2.988851,0.972858,-1.921881,-13.007765,-10.418189,9.968858,19.252377,-32.481682,-2.640152,-21.178078,10.419,8.109,9.971,7.876,19.259,17.321,32.482,31.817,0.0,0.0,21.183,17.927
2025-11-11T11:21:52.934+01:00,-3.411523,-3.045349,-3.199681,3.121086,2.090295,-11.134612,-11.154165,10.439767,19.620899,-32.919931,-2.011576,-21.966982,10.419,8.109,9.971,7.876,19.259,17.321,32.482,31.817,0.0,0.0,21.183,17.927
2025-11-11T11:21:54.418+01:00,-2.583619,-2.685679,-3.315745,4.774069,5.654436,-9.369690,-11.762152,10.834533,19.900800,-33.214556,-1.355037,-22.641917,11.764,9.158,10.837,8.563,19.908,17.928,33.214,32.631,0.0,0.0,22.647,19.192
2025-11-11T11:21:55.179+01:00,-1.648295,-2.463544,-3.371796,6.050455,9.045149,-7.599352,-12.239216,11.153168,20.098461,-33.381014,-0.674556,-23.204945,11.764,9.158,10.837,8.563,19.908,17.928,33.214,32.631,0.0,0.0,22.647,19.192
2025-11-11T11:21:56.709+01:00,-0.721436,-2.322635,-3.345837,6.945564,11.991319,-5.977081,-12.604750,11.413113,20.237447,-33.451096,0.035145,-23.677189,12.607,9.82,11.415,9.028,20.244,18.254,33.45,32.957,0.033,0.027,23.682,20.106
2025-11-11T11:21:57.473+01:00,0.148651,-2.237508,-3.296269,7.495051,14.652655,-4.385265,-12.883144,11.634911,20.340496,-33.457956,0.785642,-24.080027,12.607,9.82,11.415,9.028,20.244,18.254,33.45,32.957,0.033,0.027,23.682,20.106
2025-11-11T11:21:59.002+01:00,0.853921,-2.160206,-3.068815,7.744241,16.453724,-3.001612,-13.104199,11.840103,20.438346,-33.434319,1.571903,-24.437708,13.107,10.214,11.843,9.371,20.445,18.46,33.433,33.037,1.57,1.232,24.442,20.79
2025-11-11T11:21:59.765+01:00,1.361737,-2.016965,-2.720252,7.728393,17.197579,-1.781690,-13.268135,12.020108,20.526811,-33.380809,2.350451,-24.741587,13.107,10.214,11.843,9.371,20.445,18.46,33.433,33.037,1.57,1.232,24.442,20.79
2025-11-11T11:22:01.296+01:00,1.711589,-1.910172,-2.302202,7.467714,17.431663,-0.734952,-13.411038,12.202155,20.637181,-33.334054,3.133282,-25.022163,13.414,10.46,12.205,9.665,20.644,18.663,33.334,33.033,3.132,2.457,25.027,21.326
2025-11-11T11:22:02.059+01:00,1.886472,-1.747338,-1.840361,6.944171,16.834131,0.135239,-13.538748,12.384158,20.767984,-33.300741,3.890987,-25.278146,13.414,10.46,12.205,9.665,20.644,18.663,33.334,33.033,3.132,2.457,25.027,21.326
2025-11-11T11:22:03.589+01:00,1.936977,-1.600070,-1.380489,6.366537,16.003105,0.862791,-13.672184,12.580107,20.933159,-33.297410,4.630691,-25.526447,13.675,10.669,12.583,9.965,20.941,18.953,33.297,33.089,4.63,3.632,25.53,21.795
2025-11-11T11:22:05.187+01:00,1.861982,-1.432256,-0.940391,5.683830,14.630884,1.500033,-13.797849,12.770208,21.111029,-33.308234,5.315575,-25.747930,13.675,10.669,12.583,9.965,20.941,18.953,33.297,33.089,4.63,3.632,25.53,21.795
2025-11-11T11:22:06.701+01:00,1.694385,-1.264005,-0.535713,4.974864,13.051307,1.984826,-13.923509,12.957140,21.302226,-33.337204,5.942125,-25.948214,13.926,10.873,12.96,10.271,21.309,19.319,33.337,33.249,5.942,4.662,25.952,22.213
2025-11-11T11:22:07.462+01:00,1.477508,-1.100404,-0.190970,4.233291,11.400446,2.381861,-14.052286,13.141071,21.503751,-33.385815,6.508517,-26.129350,13.926,10.873,12.96,10.271,21.309,19.319,33.337,33.249,5.942,4.662,25.952,22.213
2025-11-11T11:22:08.996+01:00,1.230607,-0.943323,0.117624,3.514033,9.790956,2.660089,-14.195552,13.331445,21.723366,-33.463038,7.025605,-26.303560,14.197,11.092,13.334,10.571,21.73,19.726,33.462,33.467,7.026,5.513,26.307,22.558
2025-11-11T11:22:09.756+01:00,0.966085,-0.804458,0.347499,2.790226,8.061165,2.874871,-14.333336,13.506618,21.935832,-33.548024,7.468940,-26.450941,14.197,11.092,13.334,10.571,21.73,19.726,33.462,33.467,7.026,5.513,26.307,22.558
